Existence of initiatives and projects in the past five years to improve the tourism sector - exists,Existence of cafes - does not exist,Tourism Index,Existence of touristic attractions that can be expolited and developed - does not exist,Existence of touristic attractions prone to be exploited and developed - exists,Total number of hotels,Town,Total number of cafes,Observation URI,Existence of hotels - does not exist,Existence of restaurants - does not exist,Existence of cafes - exists,references,Existence of hotels - exists,refArea,Total number of guest houses,Total number of restaurants,publisher,dataset,Existence of guest houses - exists,Existence of guest houses - does not exist,Existence of restaurants - exists
0,1,3,0,1,0,Besri Jezzine,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Besri+Jezzine,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Bestiyat,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bestiyat,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Tyre_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,0,1,0,Bezbina,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bezbina,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Bhamdoun Ed-Dayaa,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bhamdoun+Ed-Dayaa,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
1,0,10,1,0,4,Bhamdoun El-Mhatta,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bhamdoun+El-Mhatta,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,3,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,10,1,0,3,Bhersaf,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bhersaf,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Matn_District,1,10,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,3,1,0,0,Bichtlida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bichtlida,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Bijdarfil,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bijdarfil,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,1,0,0,Bikfaya,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bikfaya,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,0,1,0,Binnay,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Binnay,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,0,1,0,Bintaael,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bintaael,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,9,0,1,1,Biret Aakkar,6,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Biret+Aakkar,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/Akkar_Governorate,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Biret Rachaya,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Biret+Rachaya,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Bisrin,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bisrin,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,6,1,0,0,Bissariyeh,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bissariyeh,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,4,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Biyad,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Biyad,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Tyre_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,3,0,1,0,Bizhel,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bizhel,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Keserwan_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,9,0,1,12,Bkassine,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bkassine,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/South_Governorate,0,20,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Bkeftine,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bkeftine,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Bkhichtay,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bkhichtay,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Blaouza,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Blaouza,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bsharri_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Blat Marjaayoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Blat+Marjaayoun,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Blaybel,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Blaybel,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,1,0,0,1,0,Blida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Blida,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,7,0,1,0,Bmahray,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bmahray,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,6,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,6,1,0,2,Bmakine,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bmakine,0,1,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,9,0,1,3,Bmaryam,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bmaryam,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Baabda_District,0,4,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Bnaafoul,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bnaafoul,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,7,1,0,0,Bnabil,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bnabil,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,5,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,1,1
0,1,0,1,0,0,Bnehran,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bnehran,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Bnoueiti,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bnoueiti,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Bohayra,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bohayra,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Bohwara,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bohwara,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,7,1,0,0,Borj Aakkar,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+Aakkar,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,1,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,6,1,0,2,Borj El-Moulouk,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+El-Moulouk,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Marjeyoun_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Borj El-Yahoudiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+El-Yahoudiyeh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,9,0,1,3,Borj En-Naqoura,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+En-Naqoura,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Tyre_District,0,8,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,0,1,0,Borj Rahhal,13,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+Rahhal,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Tyre_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Borj qalaouiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Borj+qalaouiyeh,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Botmeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Botmeh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,6,0,1,1,Bouaida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bouaida,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Marjeyoun_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,6,1,0,2,Bouar,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bouar,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Keserwan_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Bouarej,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bouarej,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/ZahlÃ©_District,0,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Boulhos,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Boulhos,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,6,0,1,0,Bourj El Arab,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bourj+El+Arab,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,9,1,0,2,Bourj El-Brajneh,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bourj+El-Brajneh,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Baabda_District,0,20,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Bourj Hammoud,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bourj+Hammoud,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,6,1,0,0,Bourjein,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bourjein,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Boussit,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Boussit,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Boustane,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Boustane,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Tyre_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Boustane Heresh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Boustane+Heresh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Boutchay,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Boutchay,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,4,1,0,0,Bqaa Kafra,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqaa+Kafra,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bsharri_District,1,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
1,0,10,0,1,1,Bqaa Sefrine,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqaa+Sefrine,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/MiniyehâDanniyeh_District,2,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,3,1,0,0,Bqaatouta,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqaatouta,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Keserwan_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Bqarsouna,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqarsouna,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
1,0,10,1,0,20,Bqerqacha,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqerqacha,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Bsharri_District,10,30,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,6,0,1,0,Bqerzla,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqerzla,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Bqosta,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bqosta,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,3,1,0,0,Braiqeaa,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Braiqeaa,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Bramiyeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bramiyeh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Breissat,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Breissat,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bsharri_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,1,0,1,0,Brih,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Brih,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,3,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,6,1,0,0,Brital,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Brital,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,13,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Broummana El-Matn,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Broummana+El-Matn,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,3,1,0,0,Bsaba Baabda,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsaba+Baabda,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Bsaba Ech-Chouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsaba+Ech-Chouf,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,9,1,0,2,Bsalim,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsalim,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Matn_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Bsalya,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsalya,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Bsarma,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsarma,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Bsous,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bsous,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Btaaboura,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btaaboura,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,6,1,0,0,Btalloun,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btalloun,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Aley_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Btater,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btater,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,Btedaai,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btedaai,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,-1,1,0,Btedine El-Leqch,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btedine+El-Leqch,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Bteghrine,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Bteghrine,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,1,1,0,0,Btekhnay,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Btekhnay,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,10,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
